UDI,Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],falha_real,conjunto,faixa_desgaste
108,M,298.8,308.8,1497,46.8,72,0,treino,0-99 min
109,H,298.9,308.8,1621,32.7,75,0,teste,0-99 min
110,L,298.9,308.7,1572,34.1,80,0,treino,0-99 min
111,L,298.8,308.6,1872,22.5,82,0,treino,0-99 min
112,H,298.7,308.6,1499,43.5,84,0,treino,0-99 min
113,M,298.8,308.7,1498,39.5,89,0,validacao,0-99 min
114,M,298.8,308.6,1486,41.9,92,0,treino,0-99 min
115,L,298.8,308.6,1680,29.4,95,0,validacao,0-99 min
116,L,298.8,308.6,1431,45.7,97,0,validacao,0-99 min
117,L,298.9,308.7,1564,34.1,99,0,treino,0-99 min
118,L,298.8,308.6,1599,33,101,0,treino,100-199 min
119,M,298.8,308.6,1707,28.1,103,0,validacao,100-199 min
120,L,298.7,308.5,1467,40.7,106,0,teste,100-199 min
121,L,298.9,308.7,1433,44.7,108,0,teste,100-199 min
122,L,298.9,308.7,1558,41.2,110,0,treino,100-199 min
123,L,299,308.8,1310,50.7,112,0,validacao,100-199 min
124,L,298.9,308.7,1546,43.4,114,0,treino,100-199 min
125,L,298.9,308.7,1727,29.4,116,0,treino,100-199 min
126,L,298.9,308.6,1560,32.2,118,0,treino,100-199 min
127,L,299,308.6,1329,60.5,120,0,treino,100-199 min
128,L,298.9,308.6,1413,46.5,122,0,treino,100-199 min
129,L,299,308.6,1587,38.6,124,0,teste,100-199 min
130,L,298.9,308.5,1559,34.3,126,0,teste,100-199 min
131,L,298.8,308.4,1473,41.1,128,0,validacao,100-199 min
132,L,298.8,308.4,1737,27.7,130,0,teste,100-199 min
133,M,298.7,308.4,1441,43.2,132,0,teste,100-199 min
134,M,298.7,308.4,1430,49.6,135,0,teste,100-199 min
135,L,298.8,308.4,1369,53,138,0,validacao,100-199 min
136,M,298.8,308.5,1711,28.5,140,0,treino,100-199 min
137,H,298.7,308.5,1420,45.7,143,0,teste,100-199 min
138,L,298.7,308.6,1297,55.3,148,0,treino,100-199 min
139,H,298.8,308.6,1449,49.4,150,0,treino,100-199 min
140,L,298.8,308.6,1268,55.8,155,0,treino,100-199 min
141,L,298.8,308.6,1511,36.1,157,0,teste,100-199 min
142,L,298.7,308.5,1544,35.2,159,0,treino,100-199 min
143,M,298.6,308.4,1778,28.2,161,0,treino,100-199 min
144,H,298.6,308.4,1407,50.5,164,0,teste,100-199 min
145,M,298.6,308.4,1391,42.4,169,0,validacao,100-199 min
146,L,298.5,308.4,1513,33.6,172,0,treino,100-199 min
147,H,298.5,308.4,1612,36.1,174,0,treino,100-199 min
148,L,298.4,308.4,1515,40.1,179,0,treino,100-199 min
149,M,298.3,308.3,1379,48,181,0,teste,100-199 min
150,L,298.4,308.3,1473,39.9,184,0,validacao,100-199 min
151,L,298.4,308.3,1422,42.7,186,0,validacao,100-199 min
152,M,298.4,308.2,1463,37.6,188,0,validacao,100-199 min
153,M,298.4,308.2,1584,41,191,0,treino,100-199 min
154,L,298.4,308.2,1850,27,194,0,treino,100-199 min
155,L,298.4,308.2,1528,36.2,196,0,treino,100-199 min
156,H,298.4,308.2,1987,19.8,198,0,treino,100-199 min
157,M,298.4,308.1,1495,46,203,0,teste,200+ min
158,H,298.4,308.2,1478,43.5,206,0,teste,200+ min
159,M,298.4,308.2,1499,40,211,0,treino,200+ min
160,L,298.4,308.2,1471,47,214,0,validacao,200+ min
161,L,298.4,308.2,1282,60.7,216,1,validacao,200+ min
162,L,298.3,308.1,1412,52.3,218,1,treino,200+ min
163,L,298.3,308.1,1586,35.5,0,0,treino,0-99 min
164,M,298.4,308.2,1468,43.8,2,0,teste,0-99 min
165,M,298.5,308.3,1440,43.6,5,0,validacao,0-99 min
166,L,298.5,308.4,1733,26,8,0,treino,0-99 min
167,H,298.4,308.2,1612,32.6,10,0,teste,0-99 min
168,H,298.4,308.3,1458,42.9,15,0,treino,0-99 min
169,L,298.4,308.3,1433,62.3,20,1,treino,0-99 min
170,L,298.4,308.3,1318,59.1,22,0,validacao,0-99 min
171,M,298.4,308.2,1610,35,24,0,treino,0-99 min
172,L,298.2,308.1,1462,50.8,27,0,treino,0-99 min
173,M,298.1,308,1924,20.8,29,0,treino,0-99 min
174,M,298.2,308,1591,33.7,32,0,treino,0-99 min
175,L,298.2,308.1,1306,58.3,35,0,treino,0-99 min
176,L,298.2,308.1,1382,43.5,37,0,treino,0-99 min
177,L,298.2,308.1,1618,34.7,39,0,treino,0-99 min
178,L,298.2,308.2,1988,21.4,41,0,treino,0-99 min
179,L,298.2,308.2,1436,50.2,43,0,treino,0-99 min
180,L,298.2,308.3,1304,49.8,45,0,treino,0-99 min
181,L,298.2,308.3,1475,49.9,47,0,validacao,0-99 min
182,H,298.2,308.3,1824,24.2,49,0,validacao,0-99 min
183,M,298.1,308.2,1342,48.1,54,0,treino,0-99 min
184,L,298.1,308.2,1485,40.7,57,0,treino,0-99 min
185,L,298.2,308.2,1667,30.6,59,0,validacao,0-99 min
186,L,298.2,308.2,1446,38.2,61,0,treino,0-99 min
187,L,298.1,308.3,1301,56,63,0,treino,0-99 min
188,L,298.2,308.4,1379,43.1,65,0,validacao,0-99 min
189,L,298.3,308.5,1606,33.6,67,0,treino,0-99 min
190,M,298.3,308.4,1539,43.4,69,0,treino,0-99 min
191,L,298.2,308.4,1477,49.9,72,0,treino,0-99 min
192,L,298.2,308.4,1666,34.6,74,0,treino,0-99 min
193,H,298.2,308.4,1398,51.8,76,0,treino,0-99 min
194,H,298.2,308.4,1678,34.6,81,0,validacao,0-99 min
195,M,298.2,308.5,2678,10.7,86,1,validacao,0-99 min
196,L,298.3,308.5,1453,42.9,89,0,treino,0-99 min
197,H,298.3,308.6,1432,49.5,91,0,teste,0-99 min
198,M,298.4,308.6,1527,40.9,96,0,teste,0-99 min
199,L,298.4,308.7,1588,35,99,0,validacao,0-99 min
200,L,298.4,308.6,1433,47.1,101,0,validacao,100-199 min
201,L,298.4,308.6,1609,35,103,0,validacao,100-199 min
202,L,298.3,308.5,1575,41.2,105,0,treino,100-199 min
203,M,298.4,308.5,1636,35.7,107,0,treino,100-199 min
204,L,298.4,308.5,1490,37.9,110,0,validacao,100-199 min
205,L,298.4,308.5,1741,32.8,112,0,teste,100-199 min
206,M,298.5,308.6,1344,53,114,0,treino,100-199 min
207,L,298.5,308.7,1609,35.3,117,0,validacao,100-199 min
208,M,298.4,308.7,1421,60.7,119,1,treino,100-199 min
209,L,298.4,308.6,1591,36.7,122,0,treino,100-199 min
210,L,298.4,308.6,1477,44,124,0,validacao,100-199 min
211,L,298.4,308.7,1523,36.1,126,0,teste,100-199 min
212,L,298.5,308.7,1575,33.9,128,0,validacao,100-199 min
213,H,298.4,308.7,1344,52.9,130,0,validacao,100-199 min
214,L,298.4,308.7,1386,44.9,135,0,validacao,100-199 min
215,M,298.3,308.6,1589,37.1,137,0,teste,100-199 min
216,L,298.3,308.6,1548,40.3,140,0,teste,100-199 min
217,L,298.3,308.6,1499,38.3,142,0,validacao,100-199 min
218,L,298.3,308.5,1664,31.6,144,0,treino,100-199 min
219,L,298.3,308.6,1447,38.1,146,0,treino,100-199 min
220,M,298.3,308.5,1434,46.2,148,0,validacao,100-199 min
221,L,298.3,308.5,1416,52.7,151,0,treino,100-199 min
222,H,298.4,308.5,1827,24.3,153,0,teste,100-199 min
223,L,298.4,308.6,1304,45,158,0,treino,100-199 min
224,L,298.4,308.6,1569,34.4,160,0,treino,100-199 min
225,L,298.3,308.6,1584,29.3,162,0,treino,100-199 min
226,L,298.3,308.5,1362,53.8,164,0,treino,100-199 min
227,L,298.3,308.4,1329,49.2,166,0,treino,100-199 min
228,L,298.3,308.5,1539,36.1,168,0,treino,100-199 min
229,M,298.3,308.5,1629,37.1,170,0,treino,100-199 min
230,L,298.3,308.5,1538,32.2,173,0,validacao,100-199 min
231,L,298.3,308.6,1570,34.8,175,0,validacao,100-199 min
232,L,298.3,308.4,1408,43.1,177,0,treino,100-199 min
233,L,298.2,308.4,1424,47.6,179,0,teste,100-199 min
234,L,298.2,308.4,1512,34.9,181,0,teste,100-199 min
235,L,298.2,308.4,1478,42.9,183,0,treino,100-199 min
236,M,298.1,308.3,1680,33.7,185,0,treino,100-199 min
237,L,298.1,308.3,1495,38.7,188,0,treino,100-199 min
238,M,298,308.1,1552,36.6,190,0,treino,100-199 min
239,L,297.9,308.1,1393,50.3,193,0,treino,100-199 min
240,L,298,308.2,1611,30.6,195,0,treino,100-199 min
241,M,298,308.1,1339,51.6,197,0,teste,100-199 min
242,L,298,308.1,1777,24.3,200,0,treino,200+ min
243,L,298,308.2,1348,58.8,202,1,teste,200+ min
244,L,298,308.2,1442,44.1,204,0,treino,200+ min
245,M,298,308.2,1395,49.1,206,0,teste,200+ min
246,M,297.9,308.1,1627,31.4,209,0,validacao,200+ min
247,L,297.9,308.1,1585,33.5,212,0,treino,200+ min
248,L,298,308.2,1469,45.5,214,0,treino,200+ min
249,L,298,308.3,1362,56.8,216,1,teste,200+ min
250,L,298,308.3,1405,56.2,218,1,teste,200+ min
251,L,298,308.3,1662,32.7,0,0,treino,0-99 min
252,M,298,308.2,1466,42.6,2,0,treino,0-99 min
253,L,298,308.2,1620,35.8,5,0,treino,0-99 min
254,L,298,308.2,1357,48.2,7,0,validacao,0-99 min
255,L,298,308.2,1514,37.9,9,0,treino,0-99 min
256,L,298,308.2,1489,40.4,11,0,treino,0-99 min
257,L,298.1,308.3,1331,63,13,0,treino,0-99 min
258,L,298,308,1615,29.5,15,0,treino,0-99 min
259,L,298.1,308.2,1482,37.9,17,0,treino,0-99 min
260,M,298.1,308.2,1420,63.9,19,1,treino,0-99 min
261,M,298.2,308.3,1522,49.1,22,0,validacao,0-99 min
262,L,298.1,308.2,1654,32.1,25,0,teste,0-99 min
263,M,298.1,308.2,1736,26.8,27,0,treino,0-99 min
264,M,298,308.1,1587,32.3,30,0,treino,0-99 min
265,L,298.1,308.2,1390,47.5,33,0,treino,0-99 min
266,L,298,308.1,1454,37.1,35,0,treino,0-99 min
267,H,298,308.1,1440,43.7,37,0,treino,0-99 min
268,L,297.9,308,1954,21.1,42,0,teste,0-99 min
269,H,297.9,308,1800,24.8,44,0,treino,0-99 min
270,L,298,308,1524,37,49,0,treino,0-99 min
271,H,298,308,1520,39.6,51,0,validacao,0-99 min
272,M,298.1,308.1,1452,40.8,56,0,treino,0-99 min
273,L,298.1,308.1,1484,40.4,59,0,teste,0-99 min
274,L,298.1,308,1426,46,61,0,treino,0-99 min
275,L,298.1,308,1652,28.5,63,0,teste,0-99 min
276,L,298,308,1401,54.7,65,0,treino,0-99 min
277,M,298,307.9,1750,26.6,67,0,treino,0-99 min
278,H,298,308,1479,50.7,70,0,treino,0-99 min
279,M,298,308,1620,29.4,75,0,treino,0-99 min
280,L,298,308.1,1819,23.4,78,0,validacao,0-99 min
281,M,298.1,308.1,1456,43.7,80,0,treino,0-99 min
282,L,298.1,308,1626,36.5,83,0,teste,0-99 min
283,M,298.1,308.1,1390,49.8,85,0,treino,0-99 min
284,L,298.2,308.2,1469,43,88,0,teste,0-99 min
285,L,298.2,308.3,2051,19.2,90,0,treino,0-99 min
286,L,298.2,308.3,1568,36,92,0,treino,0-99 min
287,L,298.2,308.3,1589,33.2,94,0,treino,0-99 min
288,L,298.2,308.3,1805,31.6,96,0,teste,0-99 min
289,H,298.2,308.4,1385,42.2,98,0,validacao,0-99 min
290,L,298.1,308.4,1436,46.7,103,0,teste,100-199 min
291,L,298.1,308.4,1438,45.6,105,0,treino,100-199 min
292,L,298,308.3,1473,42.6,107,0,treino,100-199 min
293,L,298.1,308.4,1335,40.2,109,0,validacao,100-199 min
294,H,298.1,308.5,1392,44.8,111,0,teste,100-199 min
295,M,298.1,308.5,1372,51.1,116,0,treino,100-199 min
296,M,298.1,308.6,1716,30.7,119,0,treino,100-199 min
297,L,298,308.5,1395,46.2,122,0,treino,100-199 min
298,L,298,308.5,1713,25.3,124,0,treino,100-199 min
299,H,297.9,308.5,2129,18.7,126,0,treino,100-199 min
300,M,297.8,308.3,1567,35.6,131,0,treino,100-199 min
301,L,297.8,308.4,1622,38.3,134,0,validacao,100-199 min
302,L,297.7,308.4,1740,27.1,136,0,treino,100-199 min
303,H,297.8,308.4,1512,35.1,138,0,treino,100-199 min
304,M,297.8,308.4,1479,43.5,143,0,treino,100-199 min
305,L,297.8,308.4,1737,27.5,146,0,validacao,100-199 min
306,L,297.8,308.4,2129,19.2,148,0,treino,100-199 min
307,L,297.8,308.4,1374,47.1,150,0,teste,100-199 min
308,M,297.8,308.4,1579,36.6,152,0,treino,100-199 min
309,L,297.9,308.5,1305,47.2,155,0,treino,100-199 min
310,M,297.9,308.5,1449,40.8,157,0,treino,100-199 min
311,H,298,308.6,1526,41.8,160,0,validacao,100-199 min
312,M,298,308.6,1453,44.1,165,0,treino,100-199 min
313,L,297.9,308.6,1468,36,168,0,treino,100-199 min
314,L,298,308.6,1313,50.8,170,0,teste,100-199 min
315,M,297.9,308.5,1300,53,172,0,teste,100-199 min
316,L,297.9,308.4,1646,40.6,175,0,treino,100-199 min
317,L,297.8,308.4,1714,33.2,177,0,treino,100-199 min
318,L,297.8,308.4,1685,28.4,179,0,treino,100-199 min
319,L,297.8,308.4,1512,39.9,181,0,teste,100-199 min
320,L,297.8,308.4,1612,32.1,183,0,treino,100-199 min
321,H,297.8,308.4,1550,38.2,185,0,validacao,100-199 min
322,L,297.8,308.4,1518,32.5,190,0,treino,100-199 min
323,L,297.8,308.5,1448,40,192,0,treino,100-199 min
324,L,297.8,308.5,1561,46.3,194,0,teste,100-199 min
325,M,297.8,308.5,1488,41.9,196,0,treino,100-199 min
326,L,297.8,308.5,1699,27.8,199,0,treino,100-199 min
327,L,297.7,308.5,1501,41.4,201,0,treino,200+ min
328,L,297.7,308.5,1373,56.7,203,1,teste,200+ min
329,H,297.6,308.4,1703,31.4,205,0,validacao,200+ min
330,H,297.7,308.5,1720,29.9,210,0,treino,200+ min
331,M,297.6,308.4,1398,41.9,215,0,teste,200+ min
332,M,297.6,308.4,1391,51.9,218,0,validacao,200+ min
333,M,297.6,308.3,1538,40.2,0,0,treino,0-99 min
334,L,297.5,308.2,1647,31.3,3,0,treino,0-99 min
335,M,297.5,308.1,1469,44.8,5,0,validacao,0-99 min
336,L,297.4,308.1,1749,25.9,8,0,treino,0-99 min
337,M,297.6,308.2,1995,20.5,10,0,validacao,0-99 min
338,L,297.6,308.3,1742,27.7,13,0,treino,0-99 min
339,L,297.5,308.2,1563,38.2,15,0,treino,0-99 min
340,M,297.5,308.2,1713,32.2,17,0,treino,0-99 min
341,L,297.4,308.1,1474,39.4,20,0,treino,0-99 min
342,M,297.4,308.2,1530,32.6,22,0,treino,0-99 min
343,L,297.4,308.2,1471,46.5,25,0,teste,0-99 min
344,L,297.5,308.3,1388,48.6,27,0,validacao,0-99 min
345,M,297.5,308.2,2448,13.8,29,0,validacao,0-99 min
346,L,297.5,308.3,1585,32.9,32,0,treino,0-99 min
347,M,297.5,308.3,1459,45.2,34,0,treino,0-99 min
348,L,297.5,308.3,1544,40.8,37,0,treino,0-99 min
349,L,297.6,308.3,1617,31.7,39,0,treino,0-99 min
350,L,297.6,308.3,1595,34.3,41,0,treino,0-99 min
351,H,297.6,308.3,1400,44.3,43,0,validacao,0-99 min
352,M,297.6,308.4,1611,31,48,0,teste,0-99 min
353,M,297.6,308.4,1507,46,51,0,validacao,0-99 min
354,H,297.5,308.3,1674,30,54,0,treino,0-99 min
355,L,297.6,308.3,1658,34.3,59,0,teste,0-99 min
356,L,297.6,308.3,1623,36.9,61,0,treino,0-99 min
357,M,297.6,308.4,1398,48.9,63,0,treino,0-99 min
358,L,297.6,308.4,1517,34.2,66,0,treino,0-99 min
359,M,297.6,308.3,1467,36.7,68,0,teste,0-99 min
360,M,297.6,308.3,1567,34.6,71,0,treino,0-99 min
361,M,297.5,308.3,1521,38.2,74,0,treino,0-99 min
362,L,297.5,308.3,1596,36.8,77,0,validacao,0-99 min
363,H,297.6,308.3,1640,30.9,79,0,treino,0-99 min
364,L,297.6,308.3,1438,47.8,84,0,treino,0-99 min
365,L,297.6,308.4,1407,55.2,86,0,treino,0-99 min
366,L,297.6,308.4,1353,57.5,88,0,teste,0-99 min
367,M,297.6,308.5,1552,40.9,90,0,treino,0-99 min
368,M,297.6,308.4,1569,38.3,93,0,treino,0-99 min
369,L,297.5,308.4,1489,39.5,96,0,treino,0-99 min
370,H,297.5,308.4,1587,36.1,98,0,treino,0-99 min
371,M,297.5,308.3,1622,37.2,103,0,treino,100-199 min
372,L,297.5,308.4,1604,38.1,106,0,treino,100-199 min
373,M,297.4,308.3,1405,51.7,108,0,validacao,100-199 min
374,L,297.4,308.3,1412,42,111,0,treino,100-199 min
375,L,297.4,308.3,1431,43,113,0,treino,100-199 min
376,L,297.4,308.2,1533,37.4,115,0,teste,100-199 min
377,M,297.4,308.2,1401,51.9,117,0,validacao,100-199 min
378,M,297.4,308.2,1424,53.9,120,0,teste,100-199 min
379,L,297.3,308.2,1754,29.4,123,0,validacao,100-199 min
380,L,297.3,308.2,1754,26.8,125,0,treino,100-199 min
381,L,297.5,308.3,2564,12.8,127,1,teste,100-199 min
382,L,297.5,308.5,1546,40.4,129,0,treino,100-199 min
383,L,297.5,308.5,1335,48,131,0,validacao,100-199 min
384,M,297.5,308.6,1842,27,133,0,treino,100-199 min
385,L,297.5,308.5,1712,26.8,136,0,treino,100-199 min
386,M,297.6,308.6,1414,45.4,138,0,treino,100-199 min
387,L,297.6,308.7,1319,50.9,141,0,teste,100-199 min
388,L,297.7,308.7,1249,60.4,143,0,validacao,100-199 min
389,L,297.6,308.7,1455,48.2,145,0,teste,100-199 min
390,M,297.6,308.7,1408,54.8,147,0,treino,100-199 min
391,L,297.6,308.7,1460,46.7,150,0,validacao,100-199 min
392,L,297.6,308.6,1491,38.1,152,0,treino,100-199 min
393,M,297.6,308.5,1490,43.4,154,0,treino,100-199 min
394,M,297.5,308.4,1350,52.2,157,0,treino,100-199 min
395,L,297.5,308.4,1528,39.9,160,0,treino,100-199 min
396,L,297.4,308.3,1571,37.7,162,0,treino,100-199 min
397,L,297.4,308.3,1490,42.6,164,0,treino,100-199 min
398,M,297.4,308.3,1774,28.9,166,0,treino,100-199 min
399,H,297.4,308.3,1502,43.6,169,0,teste,100-199 min
400,L,297.4,308.4,1392,49.7,174,0,treino,100-199 min
401,L,297.4,308.5,2100,16.9,176,0,treino,100-199 min
402,L,297.5,308.5,1722,30.4,178,0,validacao,100-199 min
403,L,297.4,308.6,1678,32.3,180,0,treino,100-199 min
404,L,297.3,308.6,1273,59.8,182,0,validacao,100-199 min
405,L,297.3,308.6,1297,45.9,184,0,teste,100-199 min
406,L,297.3,308.5,1350,57.6,186,0,teste,100-199 min
407,L,297.4,308.6,1439,51.9,188,0,treino,100-199 min
408,M,297.4,308.5,1600,42.1,190,0,treino,100-199 min
409,M,297.4,308.6,1434,44.4,193,0,treino,100-199 min
410,L,297.4,308.6,1459,41.3,196,0,teste,100-199 min
411,M,297.5,308.6,1472,44.9,198,0,validacao,100-199 min
412,L,297.5,308.7,1429,44.3,201,0,validacao,200+ min
413,L,297.5,308.6,1388,48.2,203,0,validacao,200+ min
414,L,297.4,308.4,1573,34.5,205,0,treino,200+ min
415,L,297.4,308.4,1588,32.5,207,0,treino,200+ min
416,L,297.5,308.4,1511,42.8,209,0,treino,200+ min
417,L,297.4,308.5,1495,37.8,211,0,treino,200+ min
418,L,297.4,308.4,1394,50.1,213,0,teste,200+ min
419,L,297.4,308.4,2151,17.7,0,0,teste,0-99 min
420,M,297.3,308.3,1501,38.2,2,0,validacao,0-99 min
421,M,297.3,308.3,1301,39.6,5,0,teste,0-99 min
422,M,297.3,308.3,1657,31.1,8,0,treino,0-99 min
423,L,297.3,308.3,1333,55.2,11,0,treino,0-99 min
424,L,297.3,308.3,1484,43.9,13,0,validacao,0-99 min
425,L,297.3,308.4,1430,45.7,15,0,validacao,0-99 min
426,M,297.3,308.4,1665,28.9,17,0,treino,0-99 min
427,L,297.4,308.5,1501,44.9,20,0,teste,0-99 min
428,M,297.5,308.5,1496,42.2,22,0,treino,0-99 min
429,M,297.6,308.6,1595,36.9,25,0,treino,0-99 min
430,L,297.5,308.6,1208,62.3,28,0,treino,0-99 min
431,L,297.5,308.6,1596,37.1,30,0,treino,0-99 min
432,L,297.5,308.5,1446,41.9,32,0,teste,0-99 min
433,M,297.6,308.5,1466,39.7,34,0,validacao,0-99 min
434,M,297.6,308.5,1848,23.7,37,0,teste,0-99 min
435,M,297.5,308.5,1484,44.7,40,0,treino,0-99 min
436,L,297.4,308.3,1493,41.2,43,0,treino,0-99 min
437,L,297.3,308.3,1504,36.3,45,0,treino,0-99 min
438,L,297.3,308.3,1538,38.5,47,0,validacao,0-99 min
439,L,297.4,308.4,1341,52.2,49,0,treino,0-99 min
