UDI,conjunto
378,teste
379,validacao
380,treino
381,teste
382,treino
383,validacao
384,treino
385,treino
386,treino
387,teste
388,validacao
389,teste
390,treino
391,validacao
392,treino
393,treino
394,treino
395,treino
396,treino
397,treino
398,treino
399,teste
400,treino
401,treino
402,validacao
403,treino
404,validacao
405,teste
406,teste
407,treino
408,treino
409,treino
410,teste
411,validacao
412,validacao
413,validacao
414,treino
415,treino
416,treino
417,treino
418,teste
419,teste
420,validacao
421,teste
422,treino
423,treino
424,validacao
425,validacao
426,treino
427,teste
428,treino
429,treino
430,treino
431,treino
432,teste
433,validacao
434,teste
435,treino
436,treino
437,treino
438,validacao
439,treino
440,treino
441,validacao
442,validacao
443,treino
444,validacao
445,treino
446,treino
447,treino
448,validacao
449,treino
450,treino
451,validacao
452,treino
453,validacao
454,treino
455,treino
456,treino
457,validacao
458,treino
459,validacao
460,teste
461,validacao
462,treino
463,treino
464,validacao
465,validacao
466,treino
467,treino
468,treino
469,treino
470,treino
471,teste
472,treino
473,treino
474,treino
475,teste
476,treino
477,validacao
478,treino
479,validacao
480,treino
481,treino
482,treino
483,teste
484,validacao
485,treino
486,validacao
487,treino
488,treino
489,treino
490,treino
491,treino
492,treino
493,treino
494,validacao
495,validacao
496,treino
497,treino
498,teste
499,treino
500,treino
501,treino
502,validacao
503,treino
504,treino
505,teste
506,treino
507,treino
508,treino
509,validacao
510,treino
511,treino
512,treino
513,treino
514,treino
515,treino
516,treino
517,validacao
518,treino
519,teste
520,treino
521,teste
522,validacao
523,treino
524,treino
525,treino
526,treino
527,treino
528,validacao
529,teste
530,treino
531,teste
532,treino
533,treino
534,treino
535,treino
536,treino
537,treino
538,treino
539,treino
540,teste
541,validacao
542,teste
543,teste
544,validacao
545,treino
546,teste
547,treino
548,treino
549,treino
550,treino
551,validacao
552,treino
553,teste
554,teste
555,validacao
556,teste
557,treino
558,treino
559,treino
560,validacao
561,treino
562,teste
563,treino
564,treino
565,treino
566,treino
567,treino
568,treino
569,teste
570,treino
571,treino
572,treino
573,teste
574,treino
575,validacao
576,teste
577,treino
578,validacao
579,treino
580,treino
581,validacao
582,treino
583,treino
584,treino
585,treino
586,teste
587,treino
588,treino
589,teste
590,validacao
591,treino
592,teste
593,teste
594,treino
595,treino
596,validacao
597,treino
598,teste
599,validacao
600,treino
601,teste
602,treino
603,treino
604,validacao
605,treino
606,treino
607,treino
608,validacao
609,treino
610,treino
611,treino
612,validacao
613,validacao
614,treino
615,treino
616,treino
617,validacao
618,treino
619,teste
620,treino
621,treino
622,treino
623,validacao
624,treino
625,teste
626,treino
627,validacao
628,treino
629,treino
630,treino
631,treino
632,treino
633,teste
634,validacao
635,treino
636,treino
637,treino
638,teste
639,validacao
640,treino
641,treino
642,validacao
643,validacao
644,treino
645,validacao
646,treino
647,treino
648,teste
649,treino
650,treino
651,treino
652,validacao
653,teste
654,teste
655,validacao
656,validacao
657,teste
658,treino
659,validacao
660,validacao
661,treino
662,treino
663,treino
664,teste
665,treino
666,treino
667,validacao
668,treino
669,treino
670,treino
671,treino
672,validacao
673,treino
674,treino
675,validacao
676,treino
677,treino
678,teste
679,treino
680,teste
681,treino
682,teste
683,treino
684,validacao
685,teste
686,teste
687,treino
688,validacao
689,treino
690,teste
691,treino
692,treino
693,treino
694,treino
695,validacao
696,treino
697,treino
698,validacao
699,treino
700,validacao
701,validacao
702,treino
703,treino
704,treino
705,teste
706,treino
707,teste
708,treino
709,treino
710,validacao
711,treino
712,treino
713,treino
714,treino
715,treino
716,validacao
717,teste
718,teste
719,treino
720,treino
721,treino
722,teste
723,treino
724,treino
725,validacao
726,validacao
727,validacao
728,treino
729,validacao
730,treino
731,treino
732,validacao
733,teste
734,treino
735,teste
736,teste
737,treino
738,treino
739,validacao
740,treino
741,treino
742,treino
743,treino
744,validacao
745,teste
746,validacao
747,treino
748,teste
749,treino
750,validacao
751,validacao
752,validacao
753,treino
754,treino
755,teste
756,treino
757,treino
758,treino
759,treino
760,treino
761,treino
762,treino
763,treino
764,treino
765,validacao
766,treino
767,treino
768,treino
769,teste
770,treino
771,validacao
772,treino
773,treino
774,teste
775,treino
776,treino
777,treino
778,validacao
779,treino
780,teste
781,treino
782,treino
783,treino
784,treino
785,validacao
786,treino
787,treino
788,teste
789,teste
790,teste
791,treino
792,treino
793,treino
794,treino
795,teste
796,validacao
797,treino
798,teste
799,treino
800,treino
801,treino
802,treino
803,validacao
804,teste
805,treino
806,treino
807,treino
808,treino
809,validacao
810,treino
811,teste
812,validacao
813,teste
814,validacao
815,treino
816,treino
817,treino
818,treino
819,validacao
820,validacao
821,treino
822,treino
823,treino
824,teste
825,treino
826,teste
827,treino
828,treino
829,treino
830,validacao
831,treino
832,treino
833,validacao
834,teste
835,treino
836,treino
837,treino
838,treino
839,treino
840,validacao
841,teste
842,teste
843,teste
844,teste
845,teste
846,validacao
847,teste
848,treino
849,treino
850,treino
851,teste
852,treino
853,teste
854,treino
855,treino
856,treino
857,treino
858,treino
859,treino
860,treino
861,treino
862,treino
863,validacao
864,treino
865,treino
866,treino
867,teste
868,treino
869,treino
870,validacao
871,teste
872,teste
873,treino
874,teste
875,teste
876,treino
877,treino
878,validacao
879,treino
880,treino
881,treino
882,teste
883,treino
884,treino
885,teste
886,validacao
887,treino
888,validacao
889,treino
890,validacao
891,treino
892,treino
893,treino
894,treino
895,validacao
896,validacao
897,validacao
898,teste
899,validacao
900,teste
901,treino
902,validacao
903,treino
904,treino
905,treino
906,treino
907,validacao
908,treino
909,validacao
910,treino
911,treino
912,treino
913,validacao
914,teste
915,teste
916,treino
917,teste
918,treino
919,treino
920,treino
921,treino
922,teste
923,treino
924,validacao
925,teste
926,treino
927,teste
928,treino
929,treino
930,treino
931,validacao
932,treino
933,treino
934,treino
935,validacao
936,treino
937,treino
938,treino
939,treino
940,teste
941,teste
942,teste
943,treino
944,teste
945,validacao
946,teste
947,treino
948,teste
949,treino
950,treino
951,treino
952,teste
953,treino
954,validacao
955,treino
956,treino
957,teste
958,treino
959,treino
960,teste
961,validacao
962,treino
963,teste
964,treino
965,treino
966,validacao
967,teste
968,treino
969,treino
970,treino
971,treino
972,treino
973,validacao
974,teste
975,teste
976,validacao
977,teste
978,teste
979,teste
980,teste
981,treino
982,treino
983,teste
984,validacao
985,teste
986,treino
987,teste
988,treino
989,treino
990,teste
991,treino
992,teste
993,treino
994,treino
995,treino
996,validacao
997,treino
998,teste
999,treino
1000,treino
1001,treino
1002,treino
1003,validacao
1004,teste
1005,treino
1006,treino
1007,validacao
1008,teste
1009,treino
1010,teste
1011,validacao
1012,teste
1013,treino
1014,treino
1015,validacao
1016,treino
1017,treino
1018,treino
1019,treino
1020,teste
1021,treino
1022,treino
1023,validacao
1024,validacao
1025,teste
1026,treino
1027,validacao
1028,treino
1029,teste
1030,validacao
1031,treino
1032,teste
1033,teste
1034,validacao
1035,treino
1036,validacao
1037,validacao
1038,validacao
1039,teste
1040,teste
1041,teste
1042,treino
1043,treino
1044,validacao
1045,validacao
1046,teste
1047,treino
1048,treino
1049,treino
1050,treino
1051,teste
1052,validacao
1053,teste
1054,treino
1055,treino
1056,treino
1057,treino
1058,treino
1059,treino
1060,teste
1061,treino
1062,treino
1063,treino
1064,treino
1065,teste
1066,treino
1067,treino
1068,teste
1069,treino
1070,teste
1071,treino
1072,treino
1073,treino
1074,treino
1075,teste
1076,treino
1077,treino
1078,treino
1079,validacao
1080,treino
1081,treino
1082,treino
1083,teste
1084,teste
1085,teste
1086,teste
1087,validacao
1088,treino
1089,teste
1090,teste
1091,treino
1092,teste
1093,teste
1094,validacao
1095,treino
1096,validacao
1097,teste
1098,treino
1099,treino
1100,treino
1101,validacao
1102,treino
1103,treino
1104,treino
1105,teste
1106,treino
1107,treino
1108,treino
1109,teste
1110,teste
1111,validacao
1112,treino
1113,validacao
1114,treino
1115,validacao
1116,treino
1117,treino
1118,treino
1119,treino
1120,treino
1121,treino
1122,treino
1123,treino
1124,treino
1125,treino
1126,treino
1127,treino
1128,teste
1129,treino
1130,treino
1131,validacao
1132,treino
1133,treino
1134,treino
1135,validacao
1136,treino
1137,treino
1138,treino
1139,validacao
1140,treino
1141,treino
1142,treino
1143,treino
1144,treino
1145,treino
1146,treino
1147,treino
1148,validacao
1149,treino
1150,validacao
1151,teste
1152,treino
1153,teste
1154,validacao
1155,treino
1156,treino
1157,treino
1158,validacao
1159,treino
1160,validacao
1161,validacao
1162,treino
1163,validacao
1164,validacao
1165,validacao
1166,treino
1167,treino
1168,treino
1169,validacao
1170,teste
1171,treino
1172,validacao
1173,validacao
1174,validacao
1175,treino
1176,treino
1177,treino
1178,treino
1179,treino
1180,treino
1181,validacao
1182,teste
1183,treino
1184,teste
1185,validacao
1186,treino
1187,treino
1188,teste
1189,validacao
1190,treino
1191,treino
1192,treino
1193,treino
1194,treino
1195,validacao
1196,treino
1197,treino
1198,treino
1199,teste
1200,validacao
1201,teste
1202,validacao
1203,treino
1204,treino
1205,treino
1206,treino
1207,treino
1208,validacao
1209,validacao
1210,treino
1211,teste
1212,treino
1213,treino
1214,treino
1215,validacao
1216,treino
1217,treino
1218,teste
1219,treino
1220,treino
1221,treino
1222,treino
1223,treino
1224,treino
1225,teste
1226,validacao
1227,treino
1228,validacao
1229,treino
1230,treino
1231,treino
1232,teste
1233,validacao
1234,validacao
1235,treino
1236,teste
1237,validacao
1238,treino
1239,teste
1240,treino
1241,treino
1242,teste
1243,treino
1244,validacao
1245,validacao
1246,treino
1247,treino
1248,teste
1249,treino
1250,treino
1251,validacao
1252,teste
1253,treino
1254,treino
1255,treino
1256,validacao
1257,validacao
1258,treino
1259,treino
1260,validacao
1261,treino
1262,treino
1263,teste
1264,treino
1265,treino
1266,treino
1267,treino
1268,validacao
1269,treino
1270,treino
1271,validacao
1272,treino
1273,teste
1274,teste
1275,validacao
1276,validacao
1277,validacao
1278,validacao
1279,treino
1280,treino
1281,treino
1282,teste
1283,treino
1284,treino
1285,treino
1286,validacao
1287,teste
1288,treino
1289,treino
1290,treino
1291,teste
1292,treino
1293,treino
1294,validacao
1295,validacao
1296,validacao
1297,validacao
1298,validacao
1299,treino
1300,teste
1301,teste
1302,teste
1303,treino
1304,teste
1305,validacao
1306,treino
1307,validacao
1308,teste
1309,teste
1310,treino
1311,teste
1312,validacao
1313,treino
1314,teste
1315,teste
1316,treino
1317,validacao
1318,treino
1319,treino
1320,treino
1321,teste
1322,treino
1323,treino
1324,treino
1325,treino
1326,teste
1327,teste
1328,treino
1329,treino
1330,validacao
1331,validacao
1332,teste
1333,treino
1334,treino
1335,treino
1336,treino
1337,treino
1338,teste
1339,teste
1340,treino
1341,treino
1342,teste
1343,treino
1344,teste
1345,teste
1346,teste
1347,treino
1348,treino
1349,treino
1350,teste
1351,treino
1352,treino
1353,treino
1354,teste
1355,treino
1356,validacao
1357,treino
1358,treino
1359,treino
1360,treino
1361,treino
1362,teste
1363,treino
1364,treino
1365,teste
1366,validacao
1367,validacao
1368,treino
1369,teste
1370,treino
1371,teste
1372,validacao
1373,treino
1374,validacao
1375,treino
1376,treino
1377,validacao
1378,treino
1379,teste
1380,teste
1381,validacao
1382,validacao
1383,treino
1384,treino
1385,teste
1386,treino
1387,treino
1388,treino
1389,treino
1390,treino
1391,teste
1392,teste
1393,validacao
1394,treino
1395,treino
1396,validacao
1397,treino
1398,treino
1399,treino
1400,treino
1401,treino
1402,treino
1403,teste
1404,teste
1405,validacao
1406,teste
1407,validacao
1408,treino
1409,treino
1410,validacao
1411,treino
1412,treino
1413,treino
1414,validacao
1415,validacao
1416,treino
1417,treino
1418,treino
1419,teste
1420,validacao
1421,validacao
1422,treino
1423,treino
1424,treino
1425,validacao
1426,teste
1427,teste
1428,teste
1429,teste
1430,teste
1431,treino
1432,treino
1433,treino
1434,teste
1435,treino
1436,treino
1437,validacao
1438,treino
1439,treino
1440,validacao
1441,treino
1442,treino
1443,treino
1444,treino
1445,treino
1446,treino
1447,validacao
1448,treino
1449,teste
1450,teste
1451,validacao
1452,treino
1453,treino
1454,treino
1455,treino
1456,validacao
1457,treino
1458,treino
1459,treino
1460,treino
1461,validacao
1462,validacao
1463,treino
1464,validacao
1465,treino
1466,validacao
1467,validacao
1468,treino
1469,validacao
1470,treino
1471,treino
1472,treino
1473,validacao
1474,treino
1475,treino
1476,teste
1477,treino
1478,validacao
1479,treino
1480,treino
1481,teste
1482,teste
1483,treino
1484,treino
1485,treino
1486,treino
1487,treino
1488,validacao
1489,treino
1490,treino
1491,validacao
1492,treino
1493,treino
1494,treino
1495,treino
1496,treino
1497,validacao
1498,treino
1499,treino
1500,treino
1501,validacao
1502,treino
1503,teste
1504,treino
1505,treino
1506,validacao
1507,validacao
1508,treino
1509,teste
1510,validacao
1511,validacao
1512,treino
1513,validacao
1514,treino
1515,treino
1516,treino
1517,validacao
1518,treino
1519,teste
1520,treino
1521,treino
1522,treino
1523,treino
1524,treino
1525,teste
1526,validacao
1527,treino
1528,teste
1529,treino
1530,treino
1531,treino
1532,treino
1533,validacao
1534,treino
1535,treino
1536,treino
1537,treino
1538,validacao
1539,teste
1540,treino
1541,treino
1542,validacao
1543,treino
1544,teste
1545,treino
1546,validacao
1547,validacao
1548,treino
1549,treino
1550,validacao
1551,validacao
1552,treino
1553,treino
1554,validacao
1555,treino
1556,treino
1557,validacao
1558,validacao
1559,treino
1560,treino
1561,treino
1562,teste
1563,treino
1564,validacao
1565,teste
1566,validacao
1567,treino
1568,teste
1569,teste
1570,treino
1571,treino
1572,teste
1573,treino
1574,treino
1575,teste
1576,treino
1577,treino
1578,validacao
1579,validacao
1580,treino
1581,validacao
1582,validacao
1583,validacao
1584,treino
1585,teste
1586,validacao
1587,teste
1588,treino
1589,treino
1590,validacao
1591,validacao
1592,treino
1593,treino
1594,validacao
1595,treino
1596,validacao
1597,validacao
1598,treino
1599,validacao
1600,treino
1601,teste
1602,treino
1603,treino
1604,treino
1605,treino
1606,teste
1607,treino
1608,treino
1609,treino
1610,validacao
1611,treino
1612,validacao
1613,validacao
1614,treino
1615,treino
1616,validacao
1617,teste
1618,validacao
1619,treino
1620,treino
1621,treino
1622,treino
1623,treino
1624,treino
1625,teste
1626,treino
1627,teste
1628,validacao
1629,treino
1630,treino
1631,teste
1632,treino
1633,treino
1634,treino
1635,treino
1636,treino
1637,teste
1638,treino
1639,treino
1640,treino
1641,validacao
1642,treino
1643,treino
1644,validacao
1645,validacao
1646,treino
1647,treino
1648,treino
1649,treino
1650,teste
1651,teste
1652,treino
1653,teste
1654,treino
1655,treino
1656,treino
1657,treino
1658,treino
1659,treino
1660,treino
1661,validacao
1662,treino
1663,treino
1664,treino
1665,teste
1666,treino
1667,treino
1668,teste
1669,treino
1670,teste
1671,teste
1672,treino
1673,validacao
1674,validacao
1675,treino
1676,treino
1677,treino
1678,treino
1679,teste
1680,treino
1681,treino
1682,teste
1683,treino
1684,teste
1685,treino
1686,teste
1687,teste
1688,validacao
1689,validacao
1690,treino
1691,validacao
1692,teste
1693,teste
1694,validacao
1695,teste
1696,treino
1697,treino
1698,validacao
1699,treino
1700,treino
1701,treino
1702,teste
1703,validacao
1704,treino
1705,treino
1706,treino
1707,treino
1708,treino
1709,treino
1710,teste
1711,teste
1712,treino
1713,treino
1714,teste
1715,treino
1716,treino
1717,validacao
1718,treino
1719,validacao
1720,treino
1721,validacao
1722,treino
1723,treino
1724,treino
1725,teste
1726,teste
1727,treino
1728,teste
1729,teste
1730,validacao
1731,treino
1732,teste
1733,teste
1734,teste
1735,treino
1736,treino
1737,treino
1738,validacao
1739,teste
1740,teste
1741,treino
1742,validacao
1743,validacao
1744,treino
1745,treino
1746,validacao
1747,treino
1748,validacao
1749,treino
1750,validacao
1751,teste
1752,treino
1753,treino
1754,teste
1755,teste
1756,teste
1757,validacao
1758,treino
1759,teste
1760,treino
1761,validacao
1762,validacao
1763,treino
1764,validacao
1765,treino
1766,validacao
1767,treino
1768,treino
1769,treino
1770,validacao
1771,treino
1772,treino
1773,validacao
1774,validacao
1775,treino
1776,validacao
1777,treino
1778,treino
1779,treino
1780,treino
1781,teste
1782,teste
1783,validacao
1784,validacao
1785,validacao
1786,validacao
1787,treino
1788,validacao
1789,treino
1790,treino
1791,treino
1792,teste
1793,treino
1794,treino
1795,treino
1796,treino
1797,treino
1798,validacao
1799,treino
1800,teste
1801,treino
1802,treino
1803,treino
1804,treino
1805,validacao
1806,treino
1807,teste
1808,treino
1809,validacao
1810,teste
1811,treino
1812,teste
1813,teste
1814,teste
1815,treino
1816,treino
1817,treino
1818,validacao
1819,validacao
1820,treino
1821,treino
1822,teste
1823,validacao
1824,treino
1825,treino
1826,treino
1827,treino
1828,treino
1829,treino
1830,treino
1831,treino
1832,validacao
1833,treino
1834,teste
1835,treino
1836,treino
1837,treino
1838,validacao
1839,treino
1840,treino
1841,treino
1842,validacao
1843,treino
1844,teste
1845,treino
1846,treino
1847,treino
1848,teste
1849,teste
1850,teste
1851,teste
1852,treino
1853,treino
1854,teste
1855,treino
1856,treino
1857,treino
1858,treino
1859,treino
1860,treino
1861,treino
1862,teste
1863,treino
1864,validacao
1865,treino
1866,treino
1867,validacao
1868,teste
1869,treino
1870,treino
1871,treino
1872,treino
1873,validacao
1874,treino
1875,teste
1876,treino
1877,treino
1878,treino
1879,treino
1880,teste
1881,treino
1882,treino
1883,validacao
1884,treino
1885,validacao
1886,treino
1887,treino
1888,treino
1889,treino
1890,teste
1891,validacao
1892,validacao
1893,teste
1894,validacao
1895,teste
1896,treino
1897,teste
1898,validacao
1899,treino
1900,treino
1901,treino
1902,validacao
1903,treino
1904,teste
1905,teste
1906,teste
1907,treino
1908,treino
1909,treino
1910,treino
1911,treino
1912,treino
1913,treino
1914,treino
1915,teste
1916,treino
1917,teste
1918,treino
1919,validacao
1920,teste
1921,treino
1922,treino
1923,treino
1924,treino
1925,validacao
1926,treino
1927,teste
1928,validacao
1929,validacao
1930,treino
1931,treino
1932,treino
1933,treino
1934,treino
1935,treino
1936,validacao
1937,treino
1938,treino
1939,teste
1940,treino
1941,treino
1942,treino
1943,validacao
1944,treino
1945,treino
1946,treino
1947,teste
1948,treino
1949,treino
1950,treino
1951,teste
1952,treino
1953,treino
1954,treino
1955,treino
1956,validacao
1957,validacao
1958,teste
1959,validacao
1960,teste
1961,treino
1962,treino
1963,validacao
1964,treino
1965,teste
1966,treino
1967,validacao
1968,treino
1969,teste
1970,treino
1971,treino
1972,treino
1973,treino
1974,treino
1975,treino
1976,treino
1977,teste
1978,treino
1979,teste
1980,treino
1981,treino
1982,teste
1983,teste
1984,validacao
1985,teste
1986,validacao
1987,treino
1988,treino
1989,treino
1990,treino
1991,teste
1992,treino
1993,treino
1994,treino
1995,treino
1996,treino
1997,teste
1998,treino
1999,validacao
2000,teste
2001,treino
2002,teste
2003,treino
2004,treino
2005,validacao
2006,treino
2007,validacao
2008,validacao
2009,validacao
2010,validacao
2011,validacao
2012,teste
2013,treino
2014,validacao
2015,treino
2016,treino
2017,treino
2018,treino
2019,treino
2020,treino
2021,treino
2022,treino
2023,teste
2024,teste
2025,treino
2026,validacao
2027,validacao
2028,treino
2029,validacao
2030,teste
2031,teste
2032,treino
2033,validacao
2034,teste
2035,treino
2036,treino
2037,validacao
2038,treino
2039,treino
2040,teste
2041,validacao
2042,treino
2043,teste
2044,teste
2045,validacao
2046,validacao
2047,teste
2048,teste
2049,treino
2050,treino
2051,teste
2052,teste
2053,treino
2054,teste
2055,treino
2056,validacao
2057,treino
2058,treino
2059,treino
2060,validacao
2061,treino
2062,treino
2063,treino
2064,treino
2065,treino
2066,validacao
2067,treino
2068,treino
2069,validacao
2070,treino
2071,validacao
2072,validacao
2073,treino
2074,treino
2075,treino
2076,treino
2077,treino
2078,treino
2079,treino
2080,treino
2081,teste
2082,teste
2083,validacao
2084,treino
2085,validacao
2086,treino
2087,teste
2088,teste
2089,treino
2090,treino
2091,treino
2092,treino
2093,validacao
2094,treino
2095,teste
2096,validacao
2097,treino
2098,teste
2099,treino
2100,treino
2101,teste
2102,teste
2103,teste
2104,teste
2105,teste
2106,teste
2107,validacao
2108,treino
2109,treino
2110,treino
2111,teste
2112,treino
2113,validacao
2114,treino
2115,teste
2116,validacao
2117,teste
2118,treino
2119,teste
2120,teste
2121,treino
2122,treino
2123,validacao
2124,validacao
2125,treino
2126,treino
2127,teste
2128,validacao
2129,treino
2130,teste
2131,treino
2132,treino
2133,treino
2134,treino
2135,teste
2136,treino
2137,treino
2138,teste
2139,treino
2140,treino
2141,treino
2142,treino
2143,treino
2144,validacao
2145,validacao
2146,treino
2147,validacao
2148,treino
2149,validacao
2150,treino
2151,validacao
2152,treino
2153,treino
2154,validacao
2155,validacao
2156,validacao
2157,treino
2158,treino
2159,validacao
2160,validacao
2161,teste
2162,teste
2163,treino
2164,treino
2165,treino
2166,treino
2167,validacao
2168,treino
2169,treino
2170,teste
2171,treino
2172,treino
2173,teste
2174,treino
2175,validacao
2176,treino
2177,teste
2178,treino
2179,treino
2180,treino
2181,treino
2182,teste
2183,validacao
2184,treino
2185,validacao
2186,treino
2187,treino
2188,treino
2189,treino
2190,validacao
2191,teste
2192,validacao
2193,teste
2194,teste
2195,treino
2196,teste
2197,treino
2198,teste
2199,validacao
2200,teste
2201,treino
2202,treino
2203,treino
2204,teste
2205,treino
2206,treino
2207,treino
2208,treino
2209,treino
2210,treino
2211,treino
2212,treino
2213,teste
2214,treino
2215,treino
2216,treino
2217,treino
2218,treino
2219,teste
2220,treino
2221,treino
2222,validacao
2223,treino
2224,treino
2225,treino
2226,teste
2227,treino
2228,treino
2229,validacao
2230,treino
2231,validacao
2232,treino
2233,treino
2234,treino
2235,treino
2236,treino
2237,treino
2238,teste
2239,validacao
2240,treino
2241,treino
2242,treino
2243,validacao
2244,treino
2245,treino
2246,validacao
2247,treino
2248,treino
2249,teste
2250,treino
2251,teste
2252,teste
2253,treino
2254,treino
2255,validacao
2256,treino
2257,teste
2258,validacao
2259,teste
2260,treino
2261,treino
2262,teste
2263,teste
2264,teste
2265,treino
2266,treino
2267,validacao
2268,treino
2269,treino
2270,treino
2271,teste
2272,validacao
2273,treino
2274,treino
2275,validacao
2276,treino
2277,treino
2278,teste
2279,treino
2280,treino
2281,treino
2282,treino
2283,treino
2284,treino
2285,treino
2286,treino
2287,treino
2288,treino
2289,validacao
2290,treino
2291,treino
2292,treino
2293,treino
2294,treino
2295,treino
2296,treino
2297,treino
2298,treino
2299,validacao
2300,treino
2301,treino
2302,treino
2303,teste
2304,treino
2305,treino
2306,validacao
2307,treino
2308,treino
2309,validacao
2310,validacao
2311,treino
2312,treino
2313,treino
2314,validacao
2315,teste
2316,treino
2317,treino
2318,validacao
2319,validacao
2320,treino
2321,validacao
2322,treino
2323,treino
2324,validacao
2325,teste
2326,validacao
2327,treino
2328,treino
2329,treino
2330,treino
2331,treino
2332,validacao
2333,validacao
2334,treino
2335,treino
2336,treino
2337,treino
2338,treino
2339,treino
2340,teste
2341,treino
2342,treino
2343,treino
2344,treino
2345,treino
2346,treino
2347,treino
2348,treino
2349,treino
2350,treino
2351,teste
2352,treino
2353,treino
2354,validacao
2355,treino
2356,treino
2357,treino
2358,treino
2359,treino
2360,treino
2361,treino
2362,treino
2363,treino
2364,validacao
2365,treino
2366,treino
2367,treino
2368,validacao
2369,treino
2370,treino
2371,treino
2372,validacao
2373,treino
2374,treino
2375,treino
2376,treino
2377,validacao
2378,treino
2379,validacao
2380,treino
2381,validacao
2382,validacao
2383,treino
2384,teste
2385,validacao
2386,treino
2387,treino
2388,treino
2389,teste
2390,treino
2391,validacao
2392,treino
2393,treino
2394,treino
2395,treino
2396,validacao
2397,teste
2398,teste
2399,treino
2400,treino
2401,treino
2402,teste
2403,treino
2404,validacao
2405,teste
2406,treino
2407,treino
2408,treino
2409,validacao
2410,treino
2411,treino
2412,treino
2413,treino
